progress_id,student_id,event_id,lab_number,status,prepared,attendance,inlab_submitted_at,inlab_submission_link,polished_submitted_at,polished_submission_link,instructor_assessment,self_assessment,late
A001-L01-L01,A001,L01-L01,1,Submitted,True,Present,2025-09-08 10:45,https://submit.bcit.ca/comp2714/inlab/A001-L01-L01.pdf,2025-09-09 12:45,https://submit.bcit.ca/comp2714/polished/A001-L01-L01.pdf,8.5,8.2,False
A001-L01-L02,A001,L01-L02,2,Submitted,True,Present,2025-09-15 10:35,https://submit.bcit.ca/comp2714/inlab/A001-L01-L02.pdf,2025-09-17 11:35,https://submit.bcit.ca/comp2714/polished/A001-L01-L02.pdf,7.0,6.7,False
A002-L01-L01,A002,L01-L01,1,Submitted,True,Present,2025-09-08 10:45,https://submit.bcit.ca/comp2714/inlab/A002-L01-L01.pdf,2025-09-09 12:45,https://submit.bcit.ca/comp2714/polished/A002-L01-L01.pdf,8.5,8.2,False
A002-L01-L02,A002,L01-L02,2,In Progress,True,Present,2025-09-15 10:40,https://submit.bcit.ca/comp2714/inlab/A002-L01-L02.pdf,,,,,False
A003-L01-L01,A003,L01-L01,1,Submitted,True,Present,2025-09-08 10:45,https://submit.bcit.ca/comp2714/inlab/A003-L01-L01.pdf,2025-09-09 12:45,https://submit.bcit.ca/comp2714/polished/A003-L01-L01.pdf,9.5,8.2,False
A003-L01-L02,A003,L01-L02,2,Submitted,False,Present,2025-09-15 10:35,https://submit.bcit.ca/comp2714/inlab/A003-L01-L02.pdf,2025-09-17 11:35,https://submit.bcit.ca/comp2714/polished/A003-L01-L02.pdf,9.0,6.7,False
B001-L02-L01,B001,L02-L01,1,Submitted,True,Present,2025-09-08 14:45,https://submit.bcit.ca/comp2714/inlab/B001-L02-L01.pdf,2025-09-09 16:45,https://submit.bcit.ca/comp2714/polished/B001-L02-L01.pdf,8.5,8.2,False
B001-L02-L02,B001,L02-L02,2,Submitted,True,Present,2025-09-15 14:35,https://submit.bcit.ca/comp2714/inlab/B001-L02-L02.pdf,2025-09-17 15:35,https://submit.bcit.ca/comp2714/polished/B001-L02-L02.pdf,7.0,6.7,False
B002-L02-L01,B002,L02-L01,1,Submitted,True,Present,2025-09-08 14:45,https://submit.bcit.ca/comp2714/inlab/B002-L02-L01.pdf,2025-09-09 16:45,https://submit.bcit.ca/comp2714/polished/B002-L02-L01.pdf,8.5,8.2,False
B002-L02-L02,B002,L02-L02,2,In Progress,True,Present,2025-09-15 14:40,https://submit.bcit.ca/comp2714/inlab/B002-L02-L02.pdf,,,,,False
B003-L02-L01,B003,L02-L01,1,Submitted,True,Present,2025-09-08 14:45,https://submit.bcit.ca/comp2714/inlab/B003-L02-L01.pdf,2025-09-09 16:45,https://submit.bcit.ca/comp2714/polished/B003-L02-L01.pdf,8.5,8.2,False
B003-L02-L02,B003,L02-L02,2,Submitted,False,Present,2025-09-15 14:35,https://submit.bcit.ca/comp2714/inlab/B003-L02-L02.pdf,2025-09-17 15:35,https://submit.bcit.ca/comp2714/polished/B003-L02-L02.pdf,7.0,6.7,False
C001-L03-L01,C001,L03-L01,1,Submitted,True,Present,2025-09-09 19:45,https://submit.bcit.ca/comp2714/inlab/C001-L03-L01.pdf,2025-09-10 21:45,https://submit.bcit.ca/comp2714/polished/C001-L03-L01.pdf,9.1,8.2,False
C001-L03-L02,C001,L03-L02,2,Submitted,True,Present,2025-09-16 19:35,https://submit.bcit.ca/comp2714/inlab/C001-L03-L02.pdf,2025-09-18 20:35,https://submit.bcit.ca/comp2714/polished/C001-L03-L02.pdf,9.2,6.7,False
C002-L03-L01,C002,L03-L01,1,Submitted,True,Present,2025-09-09 19:45,https://submit.bcit.ca/comp2714/inlab/C002-L03-L01.pdf,2025-09-10 21:45,https://submit.bcit.ca/comp2714/polished/C002-L03-L01.pdf,8.5,8.2,False
